Iteracion,OperacionesTotales,OperacionesPorHilo,CantidadHilos,Time (ms)
0,96000,48000,2,11851.671201
0,96000,24000,4,2565.352622
0,96000,16000,6,1370.099407
0,96000,12000,8,1021.445546
0,96000,9600,10,1636.074416
1,96000,48000,2,15612.209433
1,96000,24000,4,2374.550236
1,96000,16000,6,1289.387032
1,96000,12000,8,1385.665277
1,96000,9600,10,1457.508101
2,96000,48000,2,16072.574356
2,96000,24000,4,2593.784585
2,96000,16000,6,1334.944029
2,96000,12000,8,995.707233
2,96000,9600,10,1722.700493
3,96000,48000,2,14194.450185
3,96000,24000,4,2598.018946
3,96000,16000,6,1256.830632
3,96000,12000,8,1069.779139
3,96000,9600,10,1601.847086
4,96000,48000,2,14590.870953
4,96000,24000,4,2331.963044
4,96000,16000,6,1369.780635
4,96000,12000,8,1424.802393
4,96000,9600,10,1434.996605
5,96000,48000,2,250.110356
5,96000,24000,4,2345.380794
5,96000,16000,6,1191.966091
5,96000,12000,8,1366.728476
5,96000,9600,10,1112.599021
6,96000,48000,2,12360.231705
6,96000,24000,4,2106.545975
6,96000,16000,6,1145.69096
6,96000,12000,8,1681.377331
6,96000,9600,10,1312.582887
7,96000,48000,2,11741.286356
7,96000,24000,4,2236.062783
7,96000,16000,6,1279.903584
7,96000,12000,8,805.937461
7,96000,9600,10,1346.844479
8,96000,48000,2,12374.324812
8,96000,24000,4,2219.917326
8,96000,16000,6,1164.837973
8,96000,12000,8,1619.24583
8,96000,9600,10,1330.368089
9,96000,48000,2,11177.69071
9,96000,24000,4,2218.508004
9,96000,16000,6,1321.076873
9,96000,12000,8,1535.904576
9,96000,9600,10,1388.410828
10,96000,48000,2,12948.347586
10,96000,24000,4,2429.584388
10,96000,16000,6,1426.943395
10,96000,12000,8,1442.851416
10,96000,9600,10,1337.249901
11,96000,48000,2,15393.824264
11,96000,24000,4,2266.460934
11,96000,16000,6,1310.066959
11,96000,12000,8,1114.277069
11,96000,9600,10,1454.307145
12,96000,48000,2,14560.608042
12,96000,24000,4,2396.751333
12,96000,16000,6,1155.626039
12,96000,12000,8,698.455133
12,96000,9600,10,1479.573625
13,96000,48000,2,16021.143356
13,96000,24000,4,2236.979869
13,96000,16000,6,1337.276451
13,96000,12000,8,1297.191855
13,96000,9600,10,1302.416638
14,96000,48000,2,10506.403843
14,96000,24000,4,2138.926014
14,96000,16000,6,1282.016492
14,96000,12000,8,1181.761613
14,96000,9600,10,1407.536218
15,96000,48000,2,12932.739294
15,96000,24000,4,2393.492688
15,96000,16000,6,1095.211817
15,96000,12000,8,525.32038
15,96000,9600,10,1059.153409
16,96000,48000,2,12303.074658
16,96000,24000,4,2218.362054
16,96000,16000,6,1335.067029
16,96000,12000,8,1305.52196
16,96000,9600,10,1657.384315
17,96000,48000,2,14036.04884
17,96000,24000,4,2188.889479
17,96000,16000,6,1320.995787
17,96000,12000,8,1187.9471
17,96000,9600,10,1293.455853
18,96000,48000,2,12372.254797
18,96000,24000,4,2188.109732
18,96000,16000,6,1294.905656
18,96000,12000,8,1445.673971
18,96000,9600,10,1360.108181
19,96000,48000,2,11369.205585
19,96000,24000,4,2370.20286
19,96000,16000,6,1076.716308
19,96000,12000,8,1029.964254
19,96000,9600,10,1130.890124
20,96000,48000,2,11256.270407
20,96000,24000,4,2516.233163
20,96000,16000,6,1395.61636
20,96000,12000,8,1380.494749
20,96000,9600,10,1489.645519
21,96000,48000,2,11210.186384
21,96000,24000,4,2334.465895
21,96000,16000,6,1308.321662
21,96000,12000,8,1144.453214
21,96000,9600,10,322.896093
22,96000,48000,2,13507.750564
22,96000,24000,4,2210.279278
22,96000,16000,6,1227.300699
22,96000,12000,8,1605.874532
22,96000,9600,10,1367.121988
23,96000,48000,2,11681.778211
23,96000,24000,4,2275.461435
23,96000,16000,6,1214.030369
23,96000,12000,8,1367.533767
23,96000,9600,10,970.536603
24,96000,48000,2,12142.809483
24,96000,24000,4,2507.897053
24,96000,16000,6,1344.488134
24,96000,12000,8,1209.118934
24,96000,9600,10,1422.120234
25,96000,48000,2,14212.503861
25,96000,24000,4,2126.248958
25,96000,16000,6,1375.445564
25,96000,12000,8,1044.212181
25,96000,9600,10,1108.958591
26,96000,48000,2,12539.683306
26,96000,24000,4,2193.089831
26,96000,16000,6,1057.042428
26,96000,12000,8,1511.179309
26,96000,9600,10,1397.764286
27,96000,48000,2,12220.232849
27,96000,24000,4,2130.697322
27,96000,16000,6,1297.143302
27,96000,12000,8,1623.764675
27,96000,9600,10,1359.396094
28,96000,48000,2,11367.560271
28,96000,24000,4,2465.251319
28,96000,16000,6,1219.47264
28,96000,12000,8,1115.312263
28,96000,9600,10,1330.991505
29,96000,48000,2,12566.813338
29,96000,24000,4,2205.467183
29,96000,16000,6,1167.878121
29,96000,12000,8,1362.239856
29,96000,9600,10,1429.966128
30,96000,48000,2,13093.611137
30,96000,24000,4,2365.721356
30,96000,16000,6,1280.813002
30,96000,12000,8,1228.629869
30,96000,9600,10,1706.355042
31,96000,48000,2,12102.663282
31,96000,24000,4,2202.00306
31,96000,16000,6,1090.816443
31,96000,12000,8,1314.758424
31,96000,9600,10,1307.564739
32,96000,48000,2,14224.843422
32,96000,24000,4,2454.588675
32,96000,16000,6,1254.768494
32,96000,12000,8,1252.291491
32,96000,9600,10,1536.676459
33,96000,48000,2,15477.670054
33,96000,24000,4,2154.941105
33,96000,16000,6,1382.635594
33,96000,12000,8,1352.912289
33,96000,9600,10,1257.772323
34,96000,48000,2,11309.497472
34,96000,24000,4,2416.990967
34,96000,16000,6,1108.402696
34,96000,12000,8,1685.112142
34,96000,9600,10,1344.975707
35,96000,48000,2,10526.08213
35,96000,24000,4,2121.94654
35,96000,16000,6,1307.022653
35,96000,12000,8,1108.087324
35,96000,9600,10,1409.160347
36,96000,48000,2,10653.229151
36,96000,24000,4,2415.518686
36,96000,16000,6,1071.274908
36,96000,12000,8,1547.131355
36,96000,9600,10,1273.656039
37,96000,48000,2,13309.794181
37,96000,24000,4,2252.101128
37,96000,16000,6,1213.245722
37,96000,12000,8,1025.487074
37,96000,9600,10,1377.475987
38,96000,48000,2,11921.321805
38,96000,24000,4,2703.39612
38,96000,16000,6,1007.996807
38,96000,12000,8,1020.504813
38,96000,9600,10,1633.769819
39,96000,48000,2,12099.29441
39,96000,24000,4,2472.143989
39,96000,16000,6,809.678886
39,96000,12000,8,938.084589
39,96000,9600,10,320.590467
40,96000,48000,2,12052.814288
40,96000,24000,4,2183.559903
40,96000,16000,6,1393.771174
40,96000,12000,8,1570.393382
40,96000,9600,10,1355.728054
41,96000,48000,2,12433.212139
41,96000,24000,4,2236.648667
41,96000,16000,6,1250.681503
41,96000,12000,8,1381.462885
41,96000,9600,10,1468.164675
42,96000,48000,2,12814.201295
42,96000,24000,4,2325.045714
42,96000,16000,6,1224.174851
42,96000,12000,8,1099.889227
42,96000,9600,10,1716.36934
43,96000,48000,2,14449.057744
43,96000,24000,4,2469.114124
43,96000,16000,6,1372.401139
43,96000,12000,8,1404.218171
43,96000,9600,10,1662.606867
44,96000,48000,2,13808.378527
44,96000,24000,4,2626.6136
44,96000,16000,6,1249.502142
44,96000,12000,8,976.472071
44,96000,9600,10,1659.758774
45,96000,48000,2,14860.475907
45,96000,24000,4,2675.126957
45,96000,16000,6,1277.961637
45,96000,12000,8,1298.982993
45,96000,9600,10,1476.906434
46,96000,48000,2,14077.699601
46,96000,24000,4,2331.377904
46,96000,16000,6,1235.3343
46,96000,12000,8,1114.736529
46,96000,9600,10,1371.453017
47,96000,48000,2,12273.390325
47,96000,24000,4,2462.037818
47,96000,16000,6,1068.409389
47,96000,12000,8,1461.84344
47,96000,9600,10,1180.163606
48,96000,48000,2,11730.625065
48,96000,24000,4,2261.883835
48,96000,16000,6,1209.23728
48,96000,12000,8,1373.860878
48,96000,9600,10,1322.364754
49,96000,48000,2,11532.295179
49,96000,24000,4,2350.450777
49,96000,16000,6,1126.461179
49,96000,12000,8,901.205904
49,96000,9600,10,1640.548188
